Probe,GeneID,Symbol,Distance,Sides,Raw.p,Pe
cg00225196,ENSG00000183779,ZNF703,0,R2,4.643454523437693e-50,9.999000099990002e-5
cg12726213,ENSG00000254231,CTD-2284J15.1,12477,L1,7.414337776322125e-50,9.999000099990002e-5
cg14602087,ENSG00000183779,ZNF703,0,R2,9.290326050223735e-50,9.999000099990002e-5
cg02220837,ENSG00000134107,BHLHE40,0,R1,1.1269798739560062e-49,9.999000099990002e-5
cg11876048,ENSG00000153944,MSI2,0,R2,1.825193539562789e-49,9.999000099990002e-5
cg02009766,ENSG00000140332,TLE3,0,L2,2.009706218447989e-49,9.999000099990002e-5
cg07160602,ENSG00000140443,IGF1R,0,R1,2.009706218447989e-49,9.999000099990002e-5
cg01879083,ENSG00000164237,CMBL,0,L2,2.7255453951590323e-49,9.999000099990002e-5
cg22882121,ENSG00000204385,SLC44A4,0,R1,3.356471812127976e-49,2.9997000299970003e-4
cg26344982,ENSG00000134107,BHLHE40,0,R1,5.780760954130524e-49,9.999000099990002e-5
cg10543634,ENSG00000103591,AAGAB,103957,L1,8.477962167727053e-49,9.999000099990002e-5
cg05658107,ENSG00000168421,RHOH,0,R1,1.3454095211936057e-48,9.999000099990002e-5
cg14843888,ENSG00000157388,CACNA1D,0,L4,1.707757723102015e-48,9.999000099990002e-5
cg00601836,ENSG00000233823,RP3-443C4.2,4077,R3,2.2205999674245705e-48,5.999400059994001e-4
cg14408428,ENSG00000136944,LMX1B,129870,L1,3.542690560719105e-48,3.9996000399960006e-4
cg12726213,ENSG00000164893,SLC7A13,34645,L2,4.869412307891756e-48,1.9998000199980003e-4
cg11197206,ENSG00000168350,DEGS2,105526,R4,5.09780706505837e-48,3.9996000399960006e-4
cg12633764,ENSG00000264589,MAPT-AS1,5759,L4,5.2965763452441856e-48,9.999000099990002e-5
cg25898520,ENSG00000109436,TBC1D9,168803,L6,5.694193945913821e-48,7.999200079992001e-4
cg09747445,ENSG00000140332,TLE3,0,L2,5.970586577075672e-48,9.999000099990002e-5
cg08705382,ENSG00000135775,COG2,456209,R7,7.216227858024253e-48,9.999000099990002e-5
cg03103549,ENSG00000089101,CFAP61,17676,R2,7.566100606843501e-48,9.999000099990002e-5
cg03337918,ENSG00000175895,PLEKHF2,0,R7,1.1399437245234444e-47,9.999000099990002e-5
cg14986386,ENSG00000152939,MARVELD2,84792,R6,1.313477570809911e-47,1.9998000199980003e-4
cg05707211,ENSG00000254290,RP11-150O12.3,124992,R5,1.5585667211863765e-47,1.9998000199980003e-4
cg01360333,ENSG00000074696,HACD3,0,R4,1.6630166392043599e-47,9.999000099990002e-5
cg27627493,ENSG00000074410,CA12,92999,L3,1.9768397687544693e-47,5.999400059994001e-4
cg25706683,ENSG00000173467,AGR3,424564,L7,2.0347544686623522e-47,8.999100089991e-4
cg23093870,ENSG00000245750,DRAIC,0,R1,2.0721876443391117e-47,1.9998000199980003e-4
cg02480685,ENSG00000175895,PLEKHF2,0,R7,2.7921370701884314e-47,9.999000099990002e-5
cg24757937,ENSG00000126778,SIX1,0,R1,3.7605748850617406e-47,9.999000099990002e-5
cg04723436,ENSG00000197308,GATA3-AS1,107301,R1,4.1023473053022146e-47,4.999500049995e-4
cg00953256,ENSG00000110092,CCND1,0,R1,5.305924915694176e-47,9.999000099990002e-5
cg19775269,ENSG00000127663,KDM4B,134607,L4,5.919429896493593e-47,9.999000099990002e-5
cg15765380,ENSG00000181788,SIAH2,0,R1,6.70743648284171e-47,9.999000099990002e-5
cg00601836,ENSG00000146476,ARMT1,339095,L2,7.719318580568059e-47,8.999100089991e-4
cg27039467,ENSG00000206053,HN1L,0,R3,9.16444127038173e-47,9.999000099990002e-5
cg14938181,ENSG00000153944,MSI2,0,L7,1.0221161885543471e-46,9.999000099990002e-5
cg12449813,ENSG00000245750,DRAIC,0,R1,1.122270471901924e-46,2.9997000299970003e-4
cg01766957,ENSG00000068615,REEP1,0,R1,1.462342115922191e-46,9.999000099990002e-5
cg15642209,ENSG00000108932,SLC16A6,3096,L1,1.5562289777129897e-46,4.999500049995e-4
cg19404207,ENSG00000214313,AZGP1P1,1977,L1,1.5801462700883264e-46,1.9998000199980003e-4
cg18768347,ENSG00000134107,BHLHE40,0,R1,1.6305590992962468e-46,9.999000099990002e-5
cg01570265,ENSG00000029364,SLC39A9,251645,L6,2.09087891704166e-46,9.999000099990002e-5
cg24657085,ENSG00000141736,ERBB2,0,R1,2.156844219599241e-46,9.999000099990002e-5
cg19526600,ENSG00000211452,DIO1,0,R1,2.2248802532934206e-46,9.999000099990002e-5
cg10260050,ENSG00000149582,TMEM25,0,R1,3.434972699640251e-46,9.999000099990002e-5
cg25706683,ENSG00000106541,AGR2,473118,L9,3.4886084651504597e-46,3.9996000399960006e-4
cg01637789,ENSG00000276107,CTD-2033D15.2,2983,R2,4.68158144403298e-46,9.999000099990002e-5
cg08629176,ENSG00000153944,MSI2,0,L2,5.813292753469834e-46,9.999000099990002e-5
cg00992348,ENSG00000138190,EXOC6,106802,L7,8.420965131131953e-46,9.999000099990002e-5
cg08755736,ENSG00000164938,TP53INP1,0,R4,8.551874858396653e-46,9.999000099990002e-5
cg13751386,ENSG00000165140,FBP1,453501,L2,8.68480950646072e-46,1.9998000199980003e-4
cg14324800,ENSG00000124171,PARD6B,2896,R4,8.956878693725152e-46,1.9998000199980003e-4
cg23093870,ENSG00000140332,TLE3,486274,R7,9.526719662758824e-46,2.9997000299970003e-4
cg00225196,ENSG00000254290,RP11-150O12.3,99486,L3,1.7700796760047365e-45,2.9997000299970003e-4
cg20995304,ENSG00000278385,RP11-89H19.2,102736,R5,3.111735293440672e-45,3.9996000399960006e-4
cg04827020,ENSG00000150667,FSIP1,16575,R5,3.4639627036627943e-45,5.999400059994001e-4
cg14094521,ENSG00000143653,SCCPDH,18265,R1,3.915556207740794e-45,9.999000099990002e-5
cg04827020,ENSG00000278621,CTD-2033D15.3,4901,R3,4.9855298464874413e-45,9.999000099990002e-5
cg08070476,ENSG00000106541,AGR2,14354,L1,6.008468377836747e-45,4.999500049995e-4
cg02827572,ENSG00000124664,SPDEF,42134,L2,6.100960448842788e-45,6.999300069993001e-4
cg02711212,ENSG00000140332,TLE3,486103,R7,7.908712307034077e-45,3.9996000399960006e-4
cg15642209,ENSG00000141337,ARSG,0,L2,8.279042384440735e-45,6.999300069993001e-4
cg04573500,ENSG00000153944,MSI2,0,L2,8.53546366252226e-45,1.9998000199980003e-4
cg20655220,ENSG00000112874,NUDT12,637820,R10,8.79978572701477e-45,6.999300069993001e-4
cg09804858,ENSG00000124496,TRERF1,0,R1,9.21161452621436e-45,9.999000099990002e-5
cg27456185,ENSG00000185442,FAM174B,0,L3,9.353108220006364e-45,1.9998000199980003e-4
cg14986386,ENSG00000280187,CTC-351M12.1,140865,L6,9.79069498858864e-45,1.9998000199980003e-4
cg13428086,ENSG00000130940,CASZ1,0,L2,1.1059733541773805e-44,9.999000099990002e-5
cg08462367,ENSG00000254290,RP11-150O12.3,286581,R7,1.7764427407810848e-44,4.999500049995e-4
cg13702181,ENSG00000100583,SAMD15,51373,R4,1.9121960419259483e-44,4.999500049995e-4
cg00452252,ENSG00000168434,COG7,172418,R2,2.031918980771319e-44,9.999000099990002e-5
cg02007217,ENSG00000183840,GPR39,0,R1,2.2942919256828547e-44,9.999000099990002e-5
cg04717045,ENSG00000110092,CCND1,0,R1,2.710863485422813e-44,9.999000099990002e-5
cg24096323,ENSG00000175985,PLEKHD1,130744,L5,3.1544226213097386e-44,9.999000099990002e-5
cg24096323,ENSG00000029364,SLC39A9,199907,L6,3.560772869770817e-44,9.999000099990002e-5
cg04827020,ENSG00000276107,CTD-2033D15.2,3105,R2,4.1734412756049366e-44,9.999000099990002e-5
cg04270264,ENSG00000125967,NECAB3,283276,R5,4.2057279482731324e-44,4.999500049995e-4
cg05177729,ENSG00000110092,CCND1,106,L1,4.269829899809469e-44,9.999000099990002e-5
cg02947498,ENSG00000140025,EFCAB11,121445,R3,6.044585163815657e-44,1.9998000199980003e-4
cg11756387,ENSG00000184007,PTP4A2,0,L2,6.617624324317929e-44,9.999000099990002e-5
cg12449813,ENSG00000140332,TLE3,486519,R7,6.820401076294353e-44,5.999400059994001e-4
cg14081251,ENSG00000167106,FAM102A,27418,R5,8.051309450267683e-44,9.999000099990002e-5
cg11802013,ENSG00000110092,CCND1,0,R1,1.0246284094206595e-43,9.999000099990002e-5
cg25373630,ENSG00000171791,BCL2,0,L2,1.0401735764491252e-43,9.999000099990002e-5
cg18809597,ENSG00000178796,RIIAD1,46378,L6,1.2760922592767116e-43,9.999000099990002e-5
cg26631397,ENSG00000196208,GREB1,0,L3,1.926570047492408e-43,2.9997000299970003e-4
cg14685146,ENSG00000131096,PYY,6913,L2,2.1425573260780207e-43,9.999000099990002e-5
cg06070002,ENSG00000117450,PRDX1,0,R1,2.205105158546971e-43,9.999000099990002e-5
cg16937583,ENSG00000163704,PRRT3,3098,L2,2.341425371876185e-43,2.9997000299970003e-4
cg18085435,ENSG00000081923,ATP8B1,0,R2,2.412696974237006e-43,2.9997000299970003e-4
cg13628444,ENSG00000165695,AK8,717175,R10,3.0662623086553468e-43,2.9997000299970003e-4
cg00836101,ENSG00000278621,CTD-2033D15.3,4308,R3,3.2389708248524954e-43,9.999000099990002e-5
cg24164612,ENSG00000108417,KRT37,72122,R7,3.267228293459819e-43,9.999000099990002e-5
cg08240383,ENSG00000054392,HHAT,0,L2,3.456318852814187e-43,1.9998000199980003e-4
cg23057597,ENSG00000146242,TPBG,0,R1,3.724775487445284e-43,9.999000099990002e-5
cg12726213,ENSG00000123124,WWP1,0,R1,4.7311957925935516e-43,2.9997000299970003e-4
cg26695784,ENSG00000176842,IRX5,862926,R8,5.252590124405521e-43,4.999500049995e-4
cg03228065,ENSG00000167964,RAB26,72603,L10,5.659638553898078e-43,1.9998000199980003e-4
cg02693150,ENSG00000175895,PLEKHF2,105908,R4,6.377149167369065e-43,9.999000099990002e-5
cg10442549,ENSG00000135775,COG2,0,R1,9.678390462260299e-43,2.9997000299970003e-4
cg21643295,ENSG00000139644,TMBIM6,78661,R2,1.0271952348427823e-42,6.999300069993001e-4
cg27606671,ENSG00000132749,TESMIN,560442,R8,1.0582173475961318e-42,9.999000099990002e-5
cg19755714,ENSG00000179387,ELMOD2,602408,R9,1.0901712525270924e-42,9.999000099990002e-5
cg04380939,ENSG00000140694,PARN,0,R1,1.1230847825167495e-42,9.999000099990002e-5
cg20383521,ENSG00000178796,RIIAD1,128083,R8,1.1999468804282975e-42,9.999000099990002e-5
cg19171161,ENSG00000141519,CCDC40,206769,R9,1.3624758987226895e-42,9.999000099990002e-5
cg26371913,ENSG00000113739,STC2,760,R1,1.4675113390503953e-42,9.999000099990002e-5
cg02321903,ENSG00000167987,VPS37C,0,L2,1.6042345589273396e-42,9.999000099990002e-5
cg13181695,ENSG00000162949,CAPN13,704286,L9,1.67681424666671e-42,1.9998000199980003e-4
cg12172163,ENSG00000057593,F7,50958,L6,1.913688668431228e-42,9.999000099990002e-5
cg05046589,ENSG00000095739,BAMBI,0,R1,2.0040284042181287e-42,9.999000099990002e-5
cg27569829,ENSG00000171791,BCL2,0,L2,2.2899743539575133e-42,9.999000099990002e-5
cg20745419,ENSG00000178796,RIIAD1,0,R1,2.3404307354415543e-42,9.999000099990002e-5
cg11180129,ENSG00000100601,ALKBH1,0,R1,2.4660073485386425e-42,9.999000099990002e-5
cg16228086,ENSG00000131844,MCCC2,224968,L3,2.4660073485386425e-42,8.999100089991e-4
cg00395579,ENSG00000083307,GRHL2,561643,L8,2.616472785883129e-42,9.999000099990002e-5
cg18454510,ENSG00000156564,LRFN2,0,R3,2.6389422158643535e-42,9.999000099990002e-5
cg00732656,ENSG00000214237,MINDY4B,129016,R4,3.123175686680517e-42,9.999000099990002e-5
cg01864791,ENSG00000134107,BHLHE40,0,R1,3.171437277101111e-42,9.999000099990002e-5
cg18542304,ENSG00000140443,IGF1R,0,L2,3.843352269112037e-42,9.999000099990002e-5
cg20655220,ENSG00000181751,C5orf30,347667,R6,4.454994959050082e-42,2.9997000299970003e-4
cg03228065,ENSG00000167972,ABCA3,49110,R10,4.939840351425126e-42,9.999000099990002e-5
cg00165078,ENSG00000226835,RP11-148B18.1,0,L3,5.283792180479493e-42,9.999000099990002e-5
cg07248223,ENSG00000266088,RP5-1028K7.2,34020,L1,5.315358789693985e-42,9.999000099990002e-5
cg04723436,ENSG00000232638,RP11-379F12.4,108392,R2,5.87387438671355e-42,8.999100089991e-4
cg14214797,ENSG00000015133,CCDC88C,0,R1,6.53680875076009e-42,9.999000099990002e-5
cg17487705,ENSG00000271727,RP11-532F6.4,3634,R5,7.25838066826894e-42,9.999000099990002e-5
cg00601836,ENSG00000120262,CCDC170,188003,L1,7.686215933755249e-42,6.999300069993001e-4
cg14602087,ENSG00000254290,RP11-150O12.3,99009,L3,7.836531556445875e-42,8.999100089991e-4
cg12598025,ENSG00000113719,ERGIC1,169460,R9,8.646399378129165e-42,7.999200079992001e-4
cg12263469,ENSG00000110092,CCND1,0,R1,9.036451623946135e-42,9.999000099990002e-5
cg08077807,ENSG00000182107,TMEM30B,252513,L2,1.1101026119835769e-41,1.9998000199980003e-4
cg20698421,ENSG00000115902,SLC1A4,0,R1,1.266950400349325e-41,9.999000099990002e-5
cg23100133,ENSG00000273045,C2orf15,322965,R5,1.723950415798547e-41,9.999000099990002e-5
cg00452252,ENSG00000103356,EARS2,305939,R9,1.938313462360769e-41,9.999000099990002e-5
cg24757937,ENSG00000258952,SALRNA1,2250,L1,2.096046809616459e-41,9.999000099990002e-5
cg13378781,ENSG00000145916,RMND5B,276075,L10,2.674418266973763e-41,1.9998000199980003e-4
cg02693150,ENSG00000164938,TP53INP1,78482,L3,3.140796597510595e-41,9.999000099990002e-5
cg13763287,ENSG00000165140,FBP1,453547,L2,3.2814694779121406e-41,6.999300069993001e-4
cg08972357,ENSG00000152359,POC5,0,L2,3.37871480394093e-41,9.999000099990002e-5
cg00366037,ENSG00000156650,KAT6B,0,R1,3.797203591312575e-41,9.999000099990002e-5
cg17176029,ENSG00000135775,COG2,2502,R1,3.797203591312575e-41,4.999500049995e-4
cg00169930,ENSG00000168993,CPLX1,42345,R4,4.0845347517851223e-41,3.9996000399960006e-4
cg00836101,ENSG00000259450,RP11-265N7.1,389737,L5,4.1632242389696354e-41,9.999000099990002e-5
cg15468564,ENSG00000148488,ST8SIA6,0,L2,5.233054413769714e-41,9.999000099990002e-5
cg22830638,ENSG00000144040,SFXN5,0,R2,5.965780066773462e-41,9.999000099990002e-5
cg00732656,ENSG00000181788,SIAH2,0,R1,6.141985134172162e-41,9.999000099990002e-5
cg01766957,ENSG00000239305,RNF103,380849,R9,7.313331107112684e-41,9.999000099990002e-5
cg13702181,ENSG00000165548,TMEM63C,65818,L8,7.751179794629873e-41,9.999000099990002e-5
cg17063452,ENSG00000225208,RP11-107I14.2,379184,L9,8.132559832021557e-41,7.999200079992001e-4
cg01570265,ENSG00000175985,PLEKHD1,182482,L5,9.093847363797027e-41,2.9997000299970003e-4
cg10547843,ENSG00000214313,AZGP1P1,16533,L2,1.0198174187882516e-40,3.9996000399960006e-4
cg12178900,ENSG00000123191,ATP7B,0,L2,1.1471234645345753e-40,9.999000099990002e-5
cg15086439,ENSG00000223776,LGALS8-AS1,123280,R4,1.1638650674155796e-40,2.9997000299970003e-4
cg26703758,ENSG00000006071,ABCC8,293368,L7,1.4593334987992355e-40,6.999300069993001e-4
cg08240383,ENSG00000153363,LINC00467,997636,R10,1.5551237055830194e-40,9.999000099990002e-5
cg16342597,ENSG00000087095,NLK,0,L2,1.600808682991493e-40,9.999000099990002e-5
cg20655220,ENSG00000145723,GIN1,174965,R3,2.365354492668405e-40,4.999500049995e-4
cg08755736,ENSG00000175895,PLEKHF2,188102,R10,2.7327576043521654e-40,2.9997000299970003e-4
cg24803346,ENSG00000144040,SFXN5,0,R2,3.6463514331318412e-40,9.999000099990002e-5
cg09359006,ENSG00000232352,SEMA3B-AS1,3799,L1,3.8338907330986575e-40,1.9998000199980003e-4
cg07139503,ENSG00000188817,SNTN,257845,L7,4.10565725015852e-40,1.9998000199980003e-4
cg24075412,ENSG00000171302,CANT1,474016,L6,4.2112503667552576e-40,9.999000099990002e-5
cg11197206,ENSG00000196405,EVL,0,L3,5.535042916008483e-40,9.999000099990002e-5
cg08767627,ENSG00000164128,NPY1R,0,R1,6.9653841700968524e-40,9.999000099990002e-5
cg13965202,ENSG00000110092,CCND1,577,L1,7.483649564010991e-40,9.999000099990002e-5
cg18166959,ENSG00000135773,CAPN9,3044,R2,8.040138812665742e-40,9.999000099990002e-5
cg02009766,ENSG00000259457,RP11-279F6.2,526102,L7,8.266423898366077e-40,1.9998000199980003e-4
cg12629991,ENSG00000185630,PBX1,0,L2,8.762724741347598e-40,9.999000099990002e-5
cg21250232,ENSG00000076554,TPD52,0,L2,1.08638642662411e-39,9.999000099990002e-5
cg00347938,ENSG00000110092,CCND1,0,R1,1.1020550262157163e-39,9.999000099990002e-5
cg00874605,ENSG00000140694,PARN,0,R1,1.3085522257601777e-39,9.999000099990002e-5
cg24657085,ENSG00000161395,PGAP3,7293,L1,1.4055546085496175e-39,9.999000099990002e-5
cg02927679,ENSG00000138166,DUSP5,0,R2,1.6925271416673194e-39,9.999000099990002e-5
cg19091779,ENSG00000084444,FAM234B,0,R2,1.716875687385084e-39,6.999300069993001e-4
cg01637789,ENSG00000278621,CTD-2033D15.3,4779,R3,1.76536550942726e-39,4.999500049995e-4
cg21643295,ENSG00000186666,BCDIN3D,206975,R7,1.792030638943548e-39,7.999200079992001e-4
cg18699337,ENSG00000186868,MAPT,53443,L7,1.870455761638774e-39,6.999300069993001e-4
cg25417042,ENSG00000273143,RP11-525A16.4,3732,L1,1.914943992239804e-39,9.999000099990002e-5
cg22416376,ENSG00000003989,SLC7A2,0,L5,2.219779249505639e-39,9.999000099990002e-5
cg15765380,ENSG00000214237,MINDY4B,111108,R4,2.4485260549528366e-39,1.9998000199980003e-4
cg19404207,ENSG00000235713,RP4-604G5.3,2882,R1,2.5929631143955663e-39,9.999000099990002e-5
cg17751414,ENSG00000157181,C1orf27,712678,R6,2.7100259658492613e-39,9.999000099990002e-5
cg09560658,ENSG00000168743,NPNT,44327,L3,3.124749041327917e-39,5.999400059994001e-4
cg11676024,ENSG00000164296,TIGD6,0,R1,3.2149734384106334e-39,5.999400059994001e-4
cg06881965,ENSG00000029364,SLC39A9,264723,R9,3.60251720496053e-39,3.9996000399960006e-4
cg14408428,ENSG00000224842,RP11-123K19.1,217202,L2,3.7517215031700804e-39,8.999100089991e-4
cg05903710,ENSG00000077235,GTF3C1,95142,R4,3.7595290007666676e-39,9.999000099990002e-5
cg26695784,ENSG00000245694,CRNDE,777253,R7,3.9795090710311466e-39,9.999000099990002e-5
cg13182816,ENSG00000278621,CTD-2033D15.3,408454,R9,4.5060797405540976e-39,4.999500049995e-4
cg23367119,ENSG00000140043,PTGR2,88132,R4,4.7866931904700125e-39,1.9998000199980003e-4
cg08936516,ENSG00000185442,FAM174B,0,L3,4.9245593407363834e-39,5.999400059994001e-4
cg09359006,ENSG00000012171,SEMA3B,0,R1,5.595453219011214e-39,1.9998000199980003e-4
cg00953256,ENSG00000255774,AP000439.3,174166,L1,5.889676559546041e-39,9.99900009999e-4
cg14986386,ENSG00000213830,CFL1P5,16445,L1,6.267583110395255e-39,9.999000099990002e-5
cg20414015,ENSG00000179387,ELMOD2,538197,R9,6.823967053371377e-39,9.999000099990002e-5
cg19755714,ENSG00000153132,CLGN,466705,R6,7.642761931797972e-39,9.999000099990002e-5
cg17487705,ENSG00000271911,RP11-532F6.5,53776,R6,8.135988175500583e-39,9.999000099990002e-5
cg17514199,ENSG00000223776,LGALS8-AS1,1363642,L10,8.203368362958562e-39,7.999200079992001e-4
cg02723533,ENSG00000110092,CCND1,0,R1,8.804838677169848e-39,9.999000099990002e-5
cg04807036,ENSG00000233183,RP3-468B3.2,179310,R7,9.569251965605019e-39,2.9997000299970003e-4
cg01715680,ENSG00000012963,UBR7,29815,L4,1.2016529530253297e-38,9.999000099990002e-5
cg20268352,ENSG00000243478,AOX2P,0,R1,1.2097695366584107e-38,7.999200079992001e-4
cg02711212,ENSG00000259457,RP11-279F6.2,3037,R2,1.231034314510301e-38,2.9997000299970003e-4
cg00601836,ENSG00000155906,RMND1,357015,L4,1.236075056311694e-38,1.9998000199980003e-4
cg02898500,ENSG00000057593,F7,51558,L6,1.4224651475776519e-38,9.999000099990002e-5
cg02831668,ENSG00000170965,PLAC1,0,L4,1.4943031386961836e-38,9.999000099990002e-5
cg24582851,ENSG00000057935,MTA3,0,L3,1.5491662065471294e-38,9.999000099990002e-5
cg26551026,ENSG00000134508,CABLES1,0,R5,1.5711658207170865e-38,9.999000099990002e-5
cg02321903,ENSG00000149476,TKFC,174624,R7,1.783673053787501e-38,1.9998000199980003e-4
cg22830638,ENSG00000135638,EMX1,46372,L1,1.980552720419258e-38,9.999000099990002e-5
cg25581090,ENSG00000126803,HSPA2,0,R2,2.0247311288362564e-38,9.999000099990002e-5
cg02480685,ENSG00000164938,TP53INP1,201890,R1,2.1120730012232325e-38,1.9998000199980003e-4
cg25898520,ENSG00000249661,TNRC18P1,279434,L5,2.499899070997585e-38,9.99900009999e-4
cg18623649,ENSG00000154473,BUB3,104082,L2,2.8377357642131267e-38,9.999000099990002e-5
cg05903710,ENSG00000047578,KIAA0556,185720,R5,2.959899520611982e-38,1.9998000199980003e-4
cg17234201,ENSG00000168993,CPLX1,0,R2,3.311829763473136e-38,8.999100089991e-4
cg02766770,ENSG00000162949,CAPN13,572840,R10,4.085803136624968e-38,1.9998000199980003e-4
cg23968286,ENSG00000073969,NSF,850,L1,4.2631346596230924e-38,9.999000099990002e-5
cg04807036,ENSG00000249346,LINC01016,153493,R5,4.4527398835180295e-38,7.999200079992001e-4
cg01266390,ENSG00000154473,BUB3,104018,L2,5.114773526527709e-38,9.999000099990002e-5
cg05274650,ENSG00000006071,ABCC8,429820,L8,5.11515688207591e-38,6.999300069993001e-4
cg13433729,ENSG00000092820,EZR,0,R3,5.966064391425613e-38,9.999000099990002e-5
cg14780990,ENSG00000185442,FAM174B,0,L3,6.766235936538661e-38,9.99900009999e-4
cg01716603,ENSG00000002834,LASP1,0,R1,7.673000423033705e-38,1.9998000199980003e-4
cg14686437,ENSG00000083307,GRHL2,0,R1,8.001328729331703e-38,3.9996000399960006e-4
cg16025492,ENSG00000164219,PGGT1B,166178,L7,8.460918833077747e-38,2.9997000299970003e-4
cg21466315,ENSG00000091527,CDV3,0,R1,8.579858266303996e-38,9.999000099990002e-5
cg00452252,ENSG00000260136,CTD-2270L9.4,236683,R6,8.946631559355651e-38,9.999000099990002e-5
cg15777028,ENSG00000111371,SLC38A1,0,L2,8.946740123115728e-38,9.999000099990002e-5
cg24803346,ENSG00000135638,EMX1,38276,L1,9.52659350036289e-38,9.999000099990002e-5
cg14408428,ENSG00000136828,RALGPS1,83869,R4,9.593178350697208e-38,2.9997000299970003e-4
cg12633764,ENSG00000262881,RP11-669E14.4,6278,R1,9.67061133816676e-38,9.999000099990002e-5
cg14818176,ENSG00000189159,HN1,0,L3,1.000311001464194e-37,9.999000099990002e-5
cg00732656,ENSG00000244265,SIAH2-AS1,19908,R2,1.1657844077784287e-37,1.9998000199980003e-4
cg15873474,ENSG00000149657,LSM14B,251517,R4,1.1824409668759288e-37,9.999000099990002e-5
cg14796908,ENSG00000248429,RP11-597D13.9,13036,R2,1.303531787973395e-37,1.9998000199980003e-4
cg07060739,ENSG00000260810,CTD-2547L24.4,5014,L1,1.3113073086537266e-37,9.999000099990002e-5
cg04827020,ENSG00000259450,RP11-265N7.1,389144,L5,1.4563274413175999e-37,9.999000099990002e-5
cg10543634,ENSG00000103599,IQCH,0,R2,1.6979502800560185e-37,6.999300069993001e-4
cg17482224,ENSG00000185842,DNAH14,0,R1,1.7217186122407392e-37,1.9998000199980003e-4
cg20349803,ENSG00000115109,EPB41L5,99744,L10,2.241674945744098e-37,9.999000099990002e-5
cg17063452,ENSG00000166167,BTRC,133368,L7,2.2730013406832025e-37,1.9998000199980003e-4
cg01637789,ENSG00000259450,RP11-265N7.1,389266,L5,2.452928199695546e-37,9.999000099990002e-5
cg17226042,ENSG00000163875,MEAF6,0,L2,2.6112130978442814e-37,9.999000099990002e-5
cg14843888,ENSG00000271916,RP11-884K10.6,301542,R2,2.9075505227908457e-37,9.999000099990002e-5
cg18095824,ENSG00000164124,TMEM144,527729,L10,3.170273411883686e-37,1.9998000199980003e-4
cg16015285,ENSG00000168672,FAM84B,13022,L1,3.743135938675949e-37,1.9998000199980003e-4
